id;recipe_id;step_number;step_description
14;3;1;Épluchez et coupez tous vos légumes.Versez dans la cocotte de l'huile d'olive, le poulet, les oignons et l'ail. Mélangez. Le poulet une fois cuit, réservez de côté et effilochez le poulet à l'aide de 2 fourchettes.
15;3;2;Ajoutez alors les carottes et poireaux coupés finement en rondelles. Mélangez et ajoutez les épices et la pâte de curry. Mélangez.
16;3;3;Ajoutez alors l'eau, le bouquet garni et les cubes de bouillon. Mélangez et couvrez pendant 30 min à feu doux. 
17;3;4;Les légumes sont fondants, ajoutez les pâtes et le poulet effiloché. Continuez la cuisson pendant 15 min. 
18;3;5;Servez aussitôt et dégustez avec du pain grillé pour finir le bouillon ou des crackers composés de wraps coupés et assaisonnés, simplement grillés au four à 200°C pendant 20 min. 
19;4;1;Découpez oignons et poireaux et faites-les revenir à la poêle avec de l'huile d'olive. 
20;4;2;Dans un récipient ajoutez la tomate concassé avec les tomates confites mixées, les épices selon vos goûts et jus de citron. Mélangez. 
21;4;3;Mélangez les poireaux/oignons avec la tomate. Versez-dans un plat et ajoutez sur le dessus les oeufs. Saupoudrez des graines de cumin et enfournez à 240°C  pendant 10-15 min. 
22;4;4;Servez avec de la pâte à pizza (voir recette) simplement cuite au four avec de l'huile d'olive à 240°C pendant 8 min. 
23;5;1;Découpez finement les choux de Bruxelles puis faites-les revenir à la poêle avec un peu d'huile d'olive. Une fois que ceux-ci sont fondants, ajoutez les champignons de Paris coupés également en morceaux.
24;5;2;Mélangez puis ajoutez enfin l'assaisonnement composé de crème de soja, de bouillon de légumes, de graines de moutarde et d'ailleurs. Mélangez jusqu'à obtenir une préparation homogène avec des légumes bien cuits et servez aussitôt.
25;6;1;Coupez la courge spaghetti en deux et enlevez les pépins. Disposez-la sur la plaque de cuisson ajoutez ensuite de l'huile d'olive, du persil, thym, sel et poivre puis enfourner à 200°C pendant 40-50 minutes. 
26;6;2;Grattez la chair à l'aide d'une fourchette puis ajoutez la crème avec le fromage Rapé. Ajoutez ensuite de nouveau des herbes et un peu d'ail.
27;6;3;Mélangez directement dans la courge et ajoutez par-dessus les champignons préalablement Poêlés rapidement. Enfourner de nouveau pendant 20 minutes à 200°C et dégustez aussitôt. 
28;7;1;Faites chauffer à feu doux le bouillon de légumes.
29;7;2;Coupez finement les champignons et faites-les revenir avec de l'huile d'olive. Ajoutez le riz et assaisonnez avec les herbes et sel. Mélangez.
30;7;3;"Une fois le riz nacré, ajoutez le bouillon louche par louche. Une fois le riz fondant et crémeux; ajoutez le butternut simplement cuit à la vapeur et mixé. "
31;7;4;Servez le tout avec un oeuf poché. 
32;8;1; Coupez le chou en bouquets puis faites le cuire à la vapeur jusqu'à ce qu'il soit fondant. Versez-le dans un récipient puis écrasez le à la main et ajoutez ensuite l'œuf, la farine, l'huile, le bouillon et enfin l'ail.
33;8;2;Mélangez jusqu'à obtenir un préparation homogène puis versez l'équivalent d'une cuillère à soupe sur une poêle avec un peu d'huile d'olive. Une fois que la galette se décolle retournez-là et ainsi de suite. 
34;8;3;Versez dans un récipient le yaourt avec le fromage puis assaisonnez selon vos goûts avec du sel, de la ciboulette  et le sel. Mélangez puis servez la sauce avec les galettes de légumes et le saumon frais coupées finement.
35;9;1;Pour la sauce tomate, versez la pulpe de tomate dans un récipient avec le sucre complet. Ensuite assaisonnez selon vos goûts avec des herbes et du sel. N'hésitez pas à goûter au fur et à mesure des ajouts pour avoir ce que vous souhaitez
36;9;2;Lavez et coupez de fines lamelles d'aubergines. Puis faites-les griller ensuite à la poêle avec un peu d'huile d'olive. 
37;9;3;Versez un peu d'huile d'olive au fond d'un moule à gratin puis ajoutez une couche de sauce tomate, une couche d'aubergines, une couche de ricotta. 
38;9;4;Réalisez de nouveau cette étape puis ajoutez sur le dessus de la sauce tomate et ajoutez du fromage râpé si vous le souhaitez. Ensuite enfourner pendant 25 min à 180°C
39;10;1;Faites revenir déjà les aiguillettes de poulet dans de l'huile d'olive. Assaisonnez avec de l'ail, du sel et du poivre. Une fois dorée, enlevez le poulet et conservez les sucs de cuisson. 
40;10;2;Ajoutez alors les champignons coupées en morceaux. Une fois cuits, ajoutez les blancs de poireaux finement coupés. Ajoutez un peu d'huile d'olive et versez enfin la crème, le bouillon et le fromage.
41;10;3;Mélangez et versez dans un moule à gratin tous vos ingrédients. Ajoutez sur le dessus de la chapelure ou flocon d'avoine et enfournez pendant 25 min à 180°C.
42;11;1;Épluchez et émincez les oignons. Faites-les revenir avec le poulet à la poêle avec de l'huile d'olive. 
43;11;2;Assaisonnez avec du sel, puis ajoutez les tomates cerises. Une fois cuites, éclatez-les avec le dos de la spatule et ajoutez la pulpe de tomate et les olives.
44;11;3;Assaisonnez avec les épices et herbes (goûtez entre chaque ajout).
45;11;4;Enfin accompagnez avec des légumes de saison et du riz pour un repas complet.
46;12;1;Faites deja cuire le quinoa dans du bouillon de légumes et égouttez. Versez-les ensuite dans un plat à gratin huilé et ajoutez ensuite les champignons et oignons revenus à la poêle avec de l'huile d'olive. 
47;12;2;Ajoutez y ensuite la mozza coupée en morceaux, puis la crème et le gruyère.  Mélangez et ajoutez-y enfin les épinards frais. Mélangez et enfournez pendant 25 min à 180°C.
48;12;3;Comment adapter cette recette ?Plus de proteine: tofu, tempeh, lentilles corail..Plus de glucide: un peu de semoule de blé, pâte ou riz complet
49;13;1;Lavez, épluchez et coupez les pommes de terre. Faites-les cuire à la vapeur jusqu'à ce quelles soient fondantes. 
50;13;2;Versez-les dans le robot avec la farine, l'huile et assaisonnez selon vos goûts avec des herbes et du sel. 
51;13;3;Mélangez, réalisez des boudins, coupez des tronçons et façonnez avec les dents d'une fourchette. 
52;13;4;Versez les gnocchis dans de l'eau bouillante. Quand ils remontent à la surface, égouttez et mettez de côté. 
53;13;5;Faites-les poêler avec de l'huile d'olive en mélangez sans cesse pour ne pas qu'ils collent entre eux. 
54;13;6;Ajoutez ensuite la crème, le parmesan et les brocolis coupés en bouquets et cuits vapeur. Salez et saupoudrez de noix. Dégustez. 
55;14;1;Coupez le chou-fleur en petits bouquets. Faites-le revenir dans un wok avec un peu d'huile d'olive ou de beurre clarifié. 
56;14;2;Ajoutez ensuite de l'eau, une fois que les légumes sont plus fondants, ajoutez la crème de coco de votre choix. Mélangez et laissez mijoter quelques minutes.
57;14;3;Ajoutez ensuite la pâte de curry et purée de cacahuète. Mélangez et ajoutez de l'eau si besoin pour atteindre la texture souhaité. À déguster avec du riz
58;14;4;Il est possible d'ajouter après la pâte de curry des morceaux de poisson ou viande déjà poêlés.
59;15;1;Faites déjà chauffer de l'eau avec un peu d'huile, une fois bouillante ajoutez les pâtes et les bouquets de brocolis (coupés en petit pour une cuisson plus rapide).
60;15;2;Une fois le brocolis croquant, sur feu doux, ajoutez le poulet coupé en morceaux (possible de le faire dorer de coté avant). Mélangez.
61;15;3;Ajoutez ensuite la crème avec le bouillon et le sel, ail et paprika selon ses goûts. Mélangez.
62;15;4;Le poulet une fois blanchit à coeur, arrêtez la cuisson et ajoutez le parmesan râpé. Mélangez et servez. 
63;16;1;Faites cuire les pâtes dans un mélange d'eau et de bouillon. Une fois croquantes, relevez l'équivalent d'une petite tasse d'eau de cuisson. Égouttez. 
64;16;2;Ajoutez un peu d'huile d'olive dans un faitout avec les petits pois, la ricotta et le jus de citron. mélangez. 
65;16;3;Ajoutez les pâtes et déliez avec l'eau de cuisson pour avoir une sauce onctueuse. Ajoutez du parmesan dessus et servez aussitôt.
66;17;1;Versez dans un moule à gratin les tomates cerises lavées avec les oignons rouges ciselés, les pignons de pin. Assaisonnez avec le jus de citron, les gousses d'ail pressées ou non, les herbes et l'huile d'olive. 
67;17;2;Enfourner pendant 30 minutes à 200°C. Ensuite ajoutez les pâtes déjà cuites, le fromage Rapé et la burrata au milieu. 
68;17;3;Enfourner de nouveau pendant 15 à 20 minutes à 200°C pour faire fondre le fromage et gratiner le tout. Servez aussitôt avec des protéines ou légume en plus pour avoir un repas bien équilibré. 
69;18;1;Versez dans un plat à gratin la tête d'ail coupée en son sommet avec les tomates cerises et les échalotes et oignons épluchés et coupés en morceaux. Arrosez copieusement d'huile d'olive, saler, ajouter des herbes de Provence et enfin le jus d'un citron. 
70;18;2;Enfournez à 200°C pendant 35 min.
71;18;3;Versez ensuite la préparation d'un mixeur pour obtenir une sauce homogène. Reversez dans le plat à gratin en ajoutant la crème et le concentré. Mélangez. Assaisonnez en sel et poivre selon vos goûts.
72;18;4;Ajoutez les pâtes avec la mozzarella et faite gratiner à 200°C  au four pendant 15-20 min.
73;19;1;Versez dans un récipient le jus de citron avec l'huile d'olive, le sel et les épices selon vos goûts. Mélangez puis ajoutez les morceaux de saumon. Mélangez et laissez mariner la préparation au frais pendant une heure minimum. 
74;19;2;Ensuite monter votre brochette avec des morceaux d'oignons rouges, de courgettes et des tranches de citron. Faites cuire la préparation au barbecue, au four ou a la poêle. 
75;21;1;Dans une grande casserole faites chauffer à feu doux l'eau avec le bouillon de légumes et les feuilles de laurier. Il vaut mieux en avoir trop que pas assez. 
76;21;2;Faites dorer le poulet dans une poêle avec de l'huile d'olive et une petite persillade. Réservez.
77;21;3;Dans un grand faitout ajoutez le riz avec l'oignon et l'ail épluchés et émincés, la pâte de curry et le paprika. Mélangez. Ajoutez les petits bouquets de brocolis. Faites-les juste dorer et passez à la suite. 
78;21;4;Une fois que le riz est translucide, passez au bouillon. Ajoutez louche par louche le bouillon. Une fois que celui-ci est absorbé passez à la suivante et ainsi de suite.
79;21;5;Une fois que le riz est tendre et la préparation crémeuse, ajoutez le fromage, mélangez et servez aussitôt avec le poulet.
80;22;1;Avec un marteau ou un rouleau de pâtisserie tapez l'escalope de poulet pour qu'elle soit bien plane. 
81;22;2;Ensuite achetez au milieu des tranches de bacon avec des morceaux de Beaufort et repliez l'escalope en deux. Trempez ensuite chacune d'elles dans un œuf battu puis dans un mélange de flocons d'avoine, de sel, d'ail et de bouillon grossièrement mixé. 
82;22;3;Disposez les cordons-bleus sur la plaque du four puis enfourner à 180°C pendant 20 min.
83;23;1;Lavez, épluchez et faites cuire vos pommes de terre à la vapeur. Réalisez une purée et assaisonnez-la avec du sel, poivre et bouillon de légumes. Mélangez.
84;23;2;Ajoutez au centre de la feuille de brick la purée, réalisez une empreinte et ajoutez l'oeuf au centre. 
85;23;3;Ajoutez du fromage râpé sur le dessus avec un peu de persil. Refermez le feuille de brick et faites-la cuire recto verso à la poêle. 
86;24;1;Au cuiseur vapeur, faites cuire les filets de poulet. Effilochez-les à l'aide de deux fourchettes. Coupez et faites revenir des champignons avec un peu d'huile d'olive. 
87;24;2;Fouettez les oeufs avec la moutarde et la crème. Ajoutez ensuite les champignons cuits et le poulet. Mélangez.
88;24;3;Coupez le pain, ajoutez de l'huile d'olive et du sel au fond et versez la préparation. Saupoudrez d'éclats d'amandes.
89;24;4;Enfourner à 180°C pendant 40-45 min
90;25;1;Coupez le wrap sur sa moitié puis ajoutez sur 1/4 de jambon sec, ensuite des brocolis cuits à la vapeur, puis 1 Rocamadour, de nouveau du brocoli, puis pliez le tout et faites-le toaster dans un poêle.
91;25;2;Ajoutez sur le dessus un oeuf sur le plat avec un peu de persil et pecorino râpé sur le dessus et dégustez ! 
92;26;1;Faites cuire  vos pâtes dans de l'eau bouillante salée et prélevez à la fin l'équivalent d'une petite tasse d'eau de cuisson.
93;26;2;Coupez le brocoli en petit bouquet et versez-le dans le mixeur avec du parmesan, de l'huile et enfin du sel et de l'ail selon vos goûts. Mixez jusqu'à obtenir un pesto crémeux et homogène. 
94;26;3;Une fois que les pâtes sont cuites et égouttées, reversez-les dans une poêle et ajoutez le pesto puis un peu d'eau de cuisson pour délier celui-ci. Mélangez puis servez aussitôt vos pâtes au pesto de brocolis avec une chips de jambon croustillant et quelques pignon de pin.
95;26;4;Disposez le jambon sec à plat sur la plaque du four et enfournez à 200°C pendant 6-8 minutes. 
96;27;1;Fouettez les oeufs avec le fromage, la pâte de curry, l'ail et le sel. 
97;27;2;Hachez à l'aide d'un couteau les choux. Faites-les revenir à la poêle avec un peu de matière grasse. Reserver.
98;27;3;Ajoutez dans une poêle du beurre clarifié, un wrap et les oeufs. Une fois que l'omelette est figée, ajoutez dessus les choux cuits et le comté. 
99;27;4;Repliez le wrap et faites-le cuire des 2 côtés. 
100;28;1;Commencez déjà par ajouter un peu de matière grasse dans votre poêle puis ajoutez le wrap dessus. Fouettez 3 œufs en omelette avec la moitié du bouillon puis versez la préparation sur le wrap.
101;28;2;Ajoutez ensuite des oignons émincés déjà revenus à la poêle ainsi que des tranches de bacon déjà grillées. Versez ensuite de fines tranches de reblochon et enfin des bouquets de brocolis cuits à la vapeur. 
102;28;3;Une fois que l'omelette est cuite, repliez le wrap en deux et faites-le bien griller des deux côtés afin que le fromage soit bien fondu à l'intérieur. Ensuite servez aussitôt avec un peu de roquette.
103;29;1;Faites cuire les pâte 5min dans de l'eau bouille. Égouttez et mettez-les sur un torchon pour finir d'enlever l'excédent d'eau.
104;29;2;Mélangez la ricotta avec le parmesan, le bouillon, l'ail et les épinards hachés. Mélangez, versez dans une poche à douille et coupez le bout. Garnissez vos pâtes, et disposez-les dans un plat à gratin avec un fond de sauce tomate.
105;29;3;Enfournez à 200°C pendant 20 min. Dégustez aussitôt.
106;30;1;Hachez grossièrement les amandes et versez-les dans une poêle avec les pignons de pin. Faites-les griller quelques minutes puis versez-les dans le mixeur avec les feuilles d'épinards, les tomates séchées préalablement égouttées, le parmesan, l'ail, la crème et le sel. 
107;30;2;Mixez la préparation jusqu'à ce qu'elle soit homogène. Pendant ce temps faites cuire les pâtes. 
108;30;3;Couper le bacon et faites-le revenir dans une poêle sans matières grasses. Ajoutez ensuite les pâtes puis le pesto crémeux réalisé précédemment. 
109;30;4;Délier la sauce avec un peu d'eau selon vos goûts. Une fois que tout est bien mélangé, servez aussitôt avec des restes de pignon et les amandes grillées. 
110;31;1;Lavez et coupez en morceaux vos légumes. Faites-les cuire à la vapeur pendant 15-20 minutes. Ils doivent être tout juste fondants et encore un peu croquants. 
111;31;2;Versez dans un grand récipient un peu de beurre clarifié avec l'oignon épluché et émincé. Faites-le revenir quelques minutes puis ajoutez le butternut cuit et le poulet. Assaisonnez avec la moitié de pâte de curry, le paprika, le persil et le cumin. Mélangez.
112;31;3;Une fois que la préparation est bien colorée ajoutez la moitié de crème de coco et d'eau. Ajoutez les brocolis et continuez la cuisson 5-10 min à feu moyen. Ajoutez le reste d'eau et de crème de coco. Ajustez le pâte de curry et le sel selon vos goûts.
113;31;4;Ajoutez les tagliatelles et laissez cuire 5 min. Servez aussitôt avec du sésame, des noix de cajou ou pistache pour le côté croquant. 
114;32;1;Versez la levure dans le fond d'un récipient et ajoutez un peu d'eau à température ambiante. Mélangez et laissez celle-ci s'activer pendant 5 minutes puis ajoutez le reste d'eau avec la farine, l'huile d'olive et le sel. 
115;32;2;Mélangez et pétrissez la pâte jusqu'à ce qu'elle soit souple et homogène. Disposez celle-ci dans le four éteint à l'abri des courants d'air pendant une heure minimum. Passé ce temps, dégazez la pâte et divisez- là en deux pâtons égaux. 
116;32;3;Faites cuire les deux naan dans une poêle sans matières grasses recto-verso après les avoir abaissé à l'aide d'un rouleau à pâtisserie sur une épaisseur de 5 mm environ. 
117;32;4;Par-dessus à la place de la sauce tomate conventionnelle, tartinez avec un mélange de fromage de chèvre fouetté avec du citron, de l'ail, de l'aneth et du sel. 
118;32;5;Ajoutez par-dessus du chou kale au préalable cuit à la vapeur avec du saumon poêlé et des tomates séchées. Saupoudrez de graines de sésame et dégustez.
119;32;6;Pensez à adapter les quantités en fonction de vos besoins et votre activité physique, comme toutes les recettes du blog. 
120;33;1;Versez dans le mixeur des feuilles d'épinards fraîches avec de l'ail selon vos goûts, de l'huile d'olive, du parmesan Rapé, du sel et enfin des tomates séchées. Mixez la préparation jusqu'à ce qu'elle soit homogène. Réservez. 
121;33;2;Versez dans un wok de la farine avec du beurre, des herbes de Provence et de l'ail. Mélangez puis ajoutez les aiguillettes de poulet. Faites-les dorer. 
122;33;3;Enlevez celles-ci et gardez les sucs de cuisson. Ajoutez l'eau et une fois que celle-ci est frémissante, versez les tagliatelles. Faites-les cuire jusqu'à l'absorption de l'eau. Avant cela gardez un fond de tasse d'eau de cuisson quand celle-ci est plus sirupeuse. 
123;33;4;Ajoutez à ce moment le pesto et mélangez. Ajoutez la crème et mélangez de nouveau. Servez le tout avec le poulet. 
124;34;1;Mixez à part le poulet et les tomates séchées. Versez-les dans un récipient et assaisonnez généreusement d'ail, de sel et de paprika. 
125;34;2;Mélangez à la main, réalisez 9-10 boulettes dans le creux de vos mains et faites-les cuire dans une poêle avec de l'huile d'olive ou du beurre clarifié. 
126;34;3;Versez dans un wok ou faitout les oignons épluchés et émincés. Ajoutez de l'huile d'olive ou du beurre. Faites-les revenir et ajoutez ensuite le concentré de tomate. Mélangez et ajoutez le bouillon émietté, le sel et les épices selon vos goûts.
127;34;4;Déglacez avec la moitié de lait de coco. Mélangez puis ajoutez l'eau bouillante. Mélangez puis ajoutez le chou préalablement coupé en quartiers et rapidement dorés à la poêle. Laissez mijoter jusqu'à ce que le chou soit plus fondant.
128;34;5;Enlevez le chou puis ajoutez les boulettes, les tagliatelles et le reste de lait de coco. Faites cuire le tout 5 min, puis servez le bouillon avec le chou, les tagliatelles et les boulettes de viande.
129;35;1;Épluchez et émincez les oignons avec l'échalote. Faites-les revenir dans un grand faitout avec un peu d'huile d'olive ou de beurre clarifié. Une fois cuits, ajoutez la sauce soja, et la moitié du lait de coco. Mélangez. 
130;35;2;Ajoutez le chou kale grossièrement haché et sans la tige. Mélangez. Puis versez l'eau chaude et le bouillon de volaille. Mélangez et laissez mijoter 20 minutes. Ajoutez les nouilles suivant les recommandations de cuisson présentes sur le paquet. 
131;35;3;Pendant ce temps, trempez les morceaux de poulet dans l'oeuf battu, puis dans un mélange d'avoine mixé avec de l'ail, du sel et des herbes. Faites-les cuire ensuite avec un peu d'huile d'olive ou du beurre clarifié. 
132;35;4;Pour le bouillon, arrêtez la cuisson, ajoutez le reste de lait de coco. Mélangez et servez aussitôt avec le poulet croustillant. 
133;36;1;Coupez le bacon, épluchez et émincez l'oignon. Coupez le fromage en quartiers et faites cuire les crozets dans de l'eau bouillante. 
134;36;2;Versez les oignons dans un faitout et ajoutez le bacon quand les oignons commencent à être dorés.
135;36;3;Ajoutez à ce moment la crème et les crozets cuits. Assaisonnez avec de l'ail. Mélangez.
136;36;4;Versez un peu de beurre clarifié ou huile d'olive au fond du plat à gratin, frottez avec une gousse d'ail si vous le souhaitez. Versez la préparation et ajoutez dessus le reblochon.
137;36;5;Enfournez à 200°C pendant 30 min.
138;36;6;Il est possible de remplacer le bacon par des morceaux poêlés de tofu ou tempeh. 
139;37;1;Coupez le chou en bouquets, faites-les dorer à la poêle avec un peu de beurra clarifié. Ensuite ajoutez un peu d'eau et laissez cuire jusqu'à ce qu'ils soient fondants. 
140;37;2;Ajoutez ensuite la crème et la moutarde. Mélangez et réservez. Pendant ce temps, battez un oeuf dans un bol et dans un autre mélangez l'avoine avec la levure et le tout assaisonné avec un peu d'ail et du sel.
141;37;3;Trempez les aiguillettes de poulet dans l'oeuf puis dans le mélange à l'avoine. Puis faites-les cuire dans de l'huile d'olive ou du beurre. 
142;37;4;Coupez le pain, faites griller les tranches dans un mélange de beurre et d'ail recto verso, ajoutez dessus le chou puis les nuggets de poulet et dégustez. 
143;38;1;Versez dans un récipient la farine avec le yaourt, la levure, l'huile, le lait et le sel. Mélangez et pétrissez la pâte jusqu'à ce qu'elle soit souple et homogène. Réservez. 
144;38;2;Lavez et coupez finement les poireaux. Faites-les cuire dans un faitout accompagné des oignons épluchés et émincés avec un peu d'huile ou de beurre. Assaisonnez avec sel et poivre. Une fois fondants, arrêtez la cuisson et laissez refroidir.
145;38;3;Divisez la pâte en 4, abaissez au rouleau et ajoutez au centre un peu de légumes avec des tranches de bûche de chèvre refermez la crêpe et faites-la cuire sous toutes ses faces dans une poêle avec de l'huile ou du beurre. Dégustez aussitôt.
146;39;1;Commencez par laver, éplucher couper et vider le Butternut. Ensuite rappez-le à l'aide d'une mandoline. Puis émincez finement le poireau. 
147;39;2;Versez ses ingrédients dans un grand faitout et faites-les revenir avec un peu d'huile d'olive ou de beurre. Une fois que les légumes commencent à être fondants, ajoutez le yaourt puis le bouillon de légumes. 
148;39;3;Mélangez toujours sur feu doux pendant juste quelques minutes pour avoir toujours une consistance bien crémeuse. Arrêtez la cuisson. 
149;39;4;Dans un plat à gratin ajoutez au fond un peu d'huile d'olive puis une feuille de lasagnes ajoutez ensuite la préparation aux légumes puis des lanières de saumon frais en couche uniforme. 
150;39;5;Réalisez une deuxième fois cette étape. Ensuite par-dessus saupoudrez de fromage Rapé puis de levure maltée si vous le souhaitez. Enfournez enfin à 180°C pendant 40 minutes
151;40;1;Versez un peu de beurre clarifié dans un faitout avec le poulet. Saupoudrez de farine recto/verso, puis d'herbes et d'un peu de sel. Réservez le poulet cuit de côté et conservez les sucs de cuisson.
152;40;2;Faites chauffer de côté de l'eau et de bouillon. Puis ajoutez dans les sucs, l'oignon et l'ail épluchés et émincés. Puis versez la tomate et le reste de beurre. Une fois que tout est doré, déglacer avec la moitié du bouillon. 
153;40;3;Mélangez puis ajoutez le reste de bouillon. Versez les poireaux lavés et finement coupés. Remuez de temps en temps pendant 10 min, puis ajoutez les pâtes. 
154;40;4;Mélangez et laissez mijoter jusqu'à obtenir une préparation un peu onctueuse avec un bouillon totalement évaporé. Ajoutez alors la crème. Mélangez et faites réduire un peu. 
155;40;5;Servez alors les pâtes au poireau avec le poulet cuit. 
156;40;6;Pour une recette végé, vous pouvez préparer de la même façon que le poulet du tempeh.
157;41;1; laver, éplucher et couper les pommes de terre. Faites les cuire à la vapeur jusqu'à ce qu'elle soit fondante puis écraser les. Tant que celles-ci sont encore bien chaude, ajoutez la crème avec le beurre clarifié et le bouillon. Mélangez jusqu'à obtenir une purée bien homogène.
158;41;2;pendant que les pommes de terre sont en train de cuire, versez la farine et le poulet dans un récipient et mélangez les morceaux de viande. Faites-les cuire à la poêle avec un peu de beurre clarifié. 
159;41;3;Une fois que les morceaux sont bien dorés, réservez-les de côté et dans la même poêle ajoutez l'oignon épluché et émincé ainsi que les champignons coupés en morceaux. 
160;41;4; Une fois qu'ils sont cuits, ajoutez la crème puis les morceaux de poulet et mélangez le tout. Ensuite servez aussitôt la purée avec le poulet à la crème de champignons.
161;41;5;Une version végé? remplacez le poulet par du tempeh coupé en cube. 
162;42;1;Lavez, épluchez, coupez et videz les différents légumes.
163;42;2;Faites cuire le butternut coupé en dés et épluché dans une poêle avec un peu d'huile d'olive. Ajoutez à la suite les poireaux finement coupés. Ajoutez un fond d'eau avec du bouillon. Mélangez et laissez mijoter jusqu'à obtenir des légumes fondants. 
164;42;3;Ajoutez un peu d'eau si nécessaire puis par dessus le poulet. Une fois cuit à coeur, effilochez-le avec 2 fourchettes. Ajoutez de nouveau le poulet avec le reste des légumes.
165;42;4;Ajoutez alors l'oignon épluché et émincé, le parmesan et la crème. Mélangez, puis ajoutez les pâtes cuites. Versez dans un plat à gratin, saupoudrez de fromage et enfournez à 180°C pendant 20 min.
166;42;5;Couvrez le plat à gratin avec du papier de cuisson pour ne pas griller le dessus mais pour faire fondre le fromage. 
167;43;1;Coupez le poulet et faites-le cuire dans un faitout avec un peu d'huile d'olive. Une fois que le poulet est cuit, réservez-le de côté et gardez les sucs de cuisson pour les déglacer ensuite avec de la sauce soja sucrée.
168;43;2;Mélangez. Ajoutez ensuite du jus de citron, du miel, de la farine et de l'eau. Fouettez la préparation jusqu'à ce qu'elle soit bien homogène.
169;43;3;Ajoutez ensuite les légumes lavés et coupés. Laissez mijoter et réduire pendant 20-30 min jusqu'à obtenir une sauce sirupeuse et des legumes fondants.
170;43;4;Ajoutez le poulet, mélangez et servez avec du riz complet.
171;43;5;Pour une version végé utilisez tu tofu ou tempeh préparé de la même manière.
172;44;1;Coupez le brocoli en bouquet et faites-le revenir dans un grand faitout avec un peu de beurre clarifié. Ajoutez un fond d'eau et le bouillon de légumes en poudre. 
173;44;2;Ajoutez par-dessus les aiguillettes de poulet puis une fois que celles-ci sont blanchit à cœur, effilochez-les à l'aide de deux fourchettes. Versez de nouveau le poulet effiloché avec les brocolis. Mélangez.
174;44;3; Ajoutez ensuite l'échalote épluchée et émincée avec l'oignon préparé de la même façon ainsi que la crème. Mélangez. Et enfin ajoutez les coquillettes cuites.Ajoutez du fromage râpé sur le dessus et enfourner à 180°C pendant 20 min.
175;44;4;Il est possible d'aouter du papier d'alu ou de cuisson sur le dessus pour avoir un fromage bine fondu.
176;45;1;Versez dans un grand faitout sur feu moyen le butternut lavé, épluché, vidé et coupé en petits cubes avec un peu de beurre clarifié. Une fois que le butternut est bien doré, ajoutez le lait de coco.
177;45;2;Mélangez la préparation puis ajoutez selon vos goûts les épices et l'ail. Versez enfin la tomate. Mélangez et ajoutez les épices. Laissez mijoter jusqu'à ce que le butternut soit fondant. Ajoutez les feuilles d'épinards à ce moment. 
178;45;3;À ce moment, ajoutez les pavés de saumon jusqu'à qu'ils soient blanchis à coeur. Enfin servez tout avec un peu de riz et bon appétit !
179;45;4;Il est aussi possible de faire griller le saumon avant et de le servir avec le curry et le riz en accompagnement .
180;46;1;Faites revenir les oignons épluchés et émincés ainsi que les carottes épluchées et coupées en rondelles avec de l'huile d'olive. Une fois que les légumes sont colorés ajoutez la moitié d'eau.
181;46;2;Versez à ce moment le laurier, les clous de girofle, le poivre et le bouillon.
182;46;3;Couvrez et laissez mijoter 10 min avant de verser les poireau lavés et coupés. Versez le reste d'eau puis ajoutez dessus le poulet. Une fois blanchit à coeur, effilochez-le avec des fourchettes avant de l'ajouter dans le bouillon de nouveau.
